,clinton_adjusted,polling_weight,state,trump_adjusted,trump_clinton_win
1733,0.01571,1.1034032,36,3.9282,1
1734,1.77187,0.21528486,36,2.06825,1
1735,-1.96256,0.0387072,36,2.9967,1
1736,-0.18342,0.063043575,39,0.1569,0
1737,1.65628,0.0341652755906,22,4.25796,1
1738,2.12779,0.0434856888889,13,3.08295,0
1739,5.50611,0.209746513043,51,7.82091,0
1740,5.14076,0.394951733333,53,8.03285,1
1741,1.60151,0.40285862069,36,2.57555,1
1742,5.55255,0.190090391304,16,8.07049,0
1743,5.53031,0.0661116521739,39,7.95102,0
1744,5.57069,0.1763847,47,8.16796,1
1745,2.31822,0.30392987541,47,4.72624,0
1746,5.1409,0.493924077778,25,8.03719,1
1747,0.49738,0.0642386634409,32,3.35903,0
1748,0.01986,0.340206105882,36,1.77849,1
1749,5.52542,0.177841878261,21,7.92469,0
1750,6.30918,0.0813384,23,8.10251,1
1751,5.54641,0.19278356087,18,8.03749,1
1752,1.78814,0.204607107317,36,2.10645,1
1753,2.83734,0.0225074282828,2,0.39202,0
1754,3.88986,0.0835501846154,36,6.09182,1
1755,5.52753,0.187556086957,42,7.93603,1
1756,0.61975,1.3466709375,36,-1.61538,1
1757,7.20368,0.0103425714286,14,8.01753,0
1758,6.91257,0.0295437333333,24,7.90991,0
1759,4.27134,0.0380431378641,19,2.91052,0
1760,-0.09277,0.066221306383,39,0.45633,0
1761,4.56525,0.062514396,36,1.50753,0
1762,6.17195,0.112525331034,11,7.80753,1
1763,1.80924,0.189697404762,36,2.14918,1
1764,-0.61454,0.0181432261146,29,-0.28397,0
1765,7.32811,0.0104883,33,8.16855,0
1766,6.28445,0.0990821793103,17,8.04933,1
1767,-2.4537,0.359287824,36,-2.61302,1
1768,5.52184,0.197935656522,10,7.90547,0
1769,2.01221,0.290045259016,51,4.27073,0
1770,0.07984,0.0246310714286,56,2.71742,1
1771,-3.40368,0.0791337647059,10,3.34189,0
1772,3.39418,0.0791427082192,56,4.43796,1
1773,7.54006,0.0081775,45,8.42579,1
1774,6.29991,0.103260765517,22,8.08259,1
1775,0.82613,0.0511628722892,37,3.42428,0
1776,-0.3101,0.0476182,7,0.05634,0
1777,5.56072,0.217475765217,43,8.1144,1
1778,2.23227,0.224793003279,16,4.59831,0
1779,-0.8901,0.0284329825,41,-0.50021,0
1780,-1.36782,0.0612348675,10,-1.03497,0
1781,0.74631,0.0194212202703,19,4.89254,1
1782,-0.12448,0.0721480125,11,0.20987,1
1783,6.86701,0.0262852,13,7.84857,0
1784,3.43535,0.101162057143,36,4.78216,1
1785,0.04597,0.00958191176471,29,1.14503,1
1786,1.8267,0.167212465116,36,2.18865,0
1787,0.651,1.10677754118,36,-1.63407,1
1788,0.3985,0.0384012048193,36,0.9474,1
1789,6.08315,0.130650162069,32,7.61669,0
1790,2.20317,0.250848222951,18,4.55499,0
1791,6.45096,0.100839258621,30,8.40723,1
1792,-1.39565,0.0492352,19,-1.00061,0
1793,0.05643,0.733312014286,36,4.03341,1
1794,-0.43744,0.05377236,17,-0.03142,0
1795,1.14668,0.0824096188976,37,2.27326,1
1796,-0.37747,0.059140725,22,0.00399,1
1797,0.35236,0.0399234503817,43,1.89694,1
1798,-2.38358,0.298163461538,36,-2.65655,1
1799,2.2622,0.075099742623,19,4.64286,0
1800,5.52169,0.197849252174,35,7.90465,1
1801,7.11524,0.00667875,29,8.18273,1
1802,-0.51145,0.05484091,42,-0.17358,0
1803,7.41572,0.00892183095238,31,8.27487,1
1804,-0.23886,0.067378545,15,0.09943,0
1805,-0.78595,0.044163945,55,-0.40608,0
1806,3.9831,0.0297795,38,5.22019,0
1807,7.08337,0.0120206190476,3,7.87153,1
1808,1.85803,0.146707943182,36,2.20842,0
1809,0.0798,0.0652762,23,0.49553,1
1810,-0.64647,0.0889909090909,35,0.07669,1
1811,2.7623,0.21003144,36,3.76186,1
1812,7.54602,0.010731122449,34,8.47167,1
1813,2.17705,0.242798136066,9,4.51611,0
1814,1.89261,0.146950933333,36,2.22777,1
1815,0.3939,0.0107881428571,40,3.07451,1
1816,6.06231,0.0714061551724,44,7.5719,0
1817,3.07018,0.0615599771186,36,6.05585,1
1818,-0.75619,0.0216307744681,29,-0.07267,1
1819,-0.24982,0.0140916595745,3,0.30709,1
1820,0.07836,0.0178418212766,27,0.66088,0
1821,3.28498,0.0425948719424,21,2.82526,1
1822,3.13185,0.258358821053,36,3.67592,0
1823,2.56786,0.0438875907692,47,3.12574,1
1824,-3.79792,0.0171549,8,-3.2096,0
1825,-2.31112,0.265767044444,36,-2.69955,1
1826,6.85732,0.0306730166667,8,7.83554,1
1827,-1.33281,0.0212851404255,13,-0.74091,0
1828,1.20921,0.326457692308,36,2.64965,0
1829,-2.01921,0.0135910148936,24,-1.4105,0
1830,1.22448,0.0242698196319,48,4.0511,1
1831,7.75066,0.00838933877551,54,8.7232,1
1832,6.8338,0.032370775,41,7.80386,0
1833,-0.26405,0.0606627659574,22,0.34683,1
1834,0.08607,0.6116554,36,4.12702,1
1835,0.6904,0.8872605,36,-1.65317,1
1836,5.5409,0.192072052174,9,8.00786,0
1837,5.55576,0.148755286957,48,8.08773,1
1838,-0.07632,0.0201456659574,0,0.38725,0
1839,3.53037,0.048987761194,26,4.88552,0
1840,-1.20287,0.04533294,2,-0.84374,0
1841,-0.65296,0.0356285788043,27,1.76548,0
1842,-0.54369,0.062904765,26,-0.2371,0
1843,-1.17001,0.0618318181818,18,-0.40424,0
1844,2.23397,0.04126192,51,2.6307,1
1845,0.06489,0.0310643666667,15,3.36082,0
1846,1.70421,0.0120848507463,29,4.69704,0
1847,1.91704,0.13222405,36,2.27528,1
1848,1.37376,0.0385142857143,36,4.02866,1
1849,7.20886,0.00961928571429,46,8.02383,1
1850,0.35549,0.0422359754967,25,0.94741,1
1851,-0.33529,0.056934735,49,0.05171,1
1852,-2.23726,0.2411773,36,-2.7511,0
1853,7.26993,0.00703213333333,38,8.09795,0
1854,-0.76929,0.0887284121212,9,-0.01302,1
1855,-0.63442,0.06688395,4,-0.26435,1
1856,-0.27147,0.066732445,30,0.16561,1
1857,2.98315,0.0439445378151,36,3.41013,1
1858,-0.31282,0.05566968,6,0.000790000000002,1
1859,-0.31038,0.00870840902256,5,2.2793,0
1860,7.51897,0.00752904285714,33,8.43842,0
1861,1.93807,0.127278542553,36,2.31042,1
1862,0.19433,0.0692611,53,0.51732,1
1863,0.44903,0.00756867647059,9,1.30584,1
1864,0.53778,0.00756867647059,35,1.34346,1
1865,0.05245,0.00756867647059,55,0.91417,0
1866,0.43351,0.00756867647059,51,1.1977,0
1867,6.51932,0.0245109555556,0,7.38054,0
1868,6.21792,0.0211613793103,55,7.90635,1
1869,6.21554,3.84710409655,36,7.90124,1
1870,-0.07711,0.04666743,12,0.252,0
1871,7.38408,0.006489,14,8.27261,0
1872,7.69302,0.00772147959184,29,8.65236,0
1873,4.05494,0.0365216764706,36,2.16922,1
1874,0.74786,0.759207452632,36,-1.6844,1
1875,0.13311,0.51207975,36,4.18822,1
1876,-0.04575,0.105341181818,37,0.7044,1
1877,5.53597,0.219523804348,6,7.9814,1
1878,7.74875,0.00531849591837,45,8.72086,1
1879,5.03183,0.0287845629412,36,4.80461,0
1880,6.79562,0.0235299222222,55,7.75247,0
1881,6.31493,0.0959235896552,49,8.11485,1
1882,1.96043,0.118112458333,36,2.33938,1
1883,7.24919,0.0184629285714,24,8.07277,1
1884,-2.1655,0.213857068966,36,-2.79454,0
1885,4.19383,0.0615691889764,36,4.75842,1
1886,7.61394,0.00708994285714,31,8.55516,1
1887,6.13024,0.121778193103,51,7.7179,0
1888,2.08604,0.224475936066,35,4.38064,1
1889,1.25174,0.010666119403,9,4.00233,0
1890,1.26092,0.010666119403,55,4.01642,0
1891,1.15623,0.010666119403,35,3.85569,1
1892,1.07875,0.010666119403,51,3.73672,1
1893,-0.83453,0.0177070212766,41,-0.25489,0
1894,6.17646,0.102917413793,21,7.81724,1
1895,6.74438,0.0171857444444,7,7.68351,0
1896,-0.35995,0.061932555,43,0.00717,0
1897,-1.3765,0.045897535,47,-1.0006,0
1898,1.92717,0.0683265147541,28,4.14415,0
1899,7.25366,0.00979551020408,3,8.1123,1
1900,-0.82686,0.07293596,18,-0.47236,1
1901,-0.14621,0.0307439404255,28,0.3471,0
1902,6.85343,0.0321048,19,7.83029,1
1903,7.40495,0.0064206047619,56,8.26182,0
1904,-0.38561,0.0206990680851,56,0.27176,1
1905,-0.26141,0.0277870297872,7,0.28522,0
1906,1.97696,0.107634918367,36,2.38378,1
1907,-0.69531,0.073554,16,-0.24982,0
1908,7.16536,0.00888255238095,27,7.97103,0
1909,3.16022,0.0308454252174,36,4.5484,1
1910,7.60228,0.00812114285714,56,8.54082,1
1911,6.78456,0.0264690142857,0,7.50887,0
1912,5.52736,0.187897121739,26,7.93514,0
1913,-2.08682,0.19275,36,-2.84592,0
1914,6.2267,0.101930151724,18,7.92521,1
1915,0.18629,0.435757447059,36,4.22779,1
1916,5.53734,0.174395134783,37,7.98879,0
1917,0.79683,0.63085902,36,-1.71155,1
1918,6.60203,0.0271369583333,12,7.49188,0
1919,6.2848,0.0848621793103,47,8.0501,1
1920,6.26898,0.0873318137931,4,8.0161,1
1921,6.75107,0.0385608888889,39,7.6925,0
1922,1.91897,0.144630737705,32,4.13195,0
